Datetime,Temperature,precp,humidity,pressure,Wind,wspd,dewPt,Image Present,Low/Mid Clouds (%),High Cirrus (%),Long-lived Contrails (Count),Contrail-Cirrus (Count),Day Low/Mid,Day Count Cirrs,Day Count Cont LL,Day Count Cont-Cirrus
2022-09-01 05:00:00,68,0.0,65,29.63,Fair,8.0,56,0.0,,,,,,,,
2022-09-01 06:00:00,63,0.0,78,29.64,Fair,0.0,56,0.0,,,,,,,,
2022-09-01 07:00:00,61,0.0,83,29.64,Fair,0.0,56,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 08:00:00,60,0.0,86,29.65,Fair,3.0,56,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 09:00:00,59,0.0,87,29.65,Fair,5.0,55,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 10:00:00,61,0.0,87,29.66,Fair,5.0,57,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 11:00:00,61,0.0,87,29.68,Fair,0.0,57,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 12:00:00,65,0.0,84,29.69,Fair,0.0,60,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 13:00:00,73,0.0,66,29.71,Fair,3.0,61,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 14:00:00,78,0.0,50,29.71,Fair,10.0,58,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 15:00:00,81,0.0,47,29.72,Fair,10.0,59,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 16:00:00,83,0.0,42,29.71,Fair,12.0,58,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 17:00:00,84,0.0,43,29.7,Fair,7.0,59,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 18:00:00,88,0.0,30,29.69,Fair,7.0,53,0.0,0.0,0.0,0.0,0.0,,,,
2022-09-01 19:00:00,87,0.0,32,29.68,Fair,7.0,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01 20:00:00,88,0.0,31,29.66,Partly Cloudy,8.0,54,0.0,,,,,,,,
2022-09-01 21:00:00,88,0.0,31,29.66,Partly Cloudy,5.0,54,0.0,,,,,,,,
2022-09-01 22:00:00,87,0.0,35,29.66,Partly Cloudy,8.0,56,0.0,,,,,,,,
2022-09-01 23:00:00,86,0.0,36,29.66,Fair,6.0,56,0.0,,,,,,,,
2022-09-02 00:00:00,79,0.0,48,29.67,Fair,3.0,58,0.0,,,,,,,,
2022-09-02 01:00:00,72,0.0,64,29.69,Fair,3.0,59,0.0,,,,,,,,
2022-09-02 02:00:00,70,0.0,68,29.71,Fair,3.0,59,0.0,,,,,,,,
2022-09-02 03:00:00,68,0.0,76,29.72,Fair,0.0,60,0.0,,,,,,,,
2022-09-02 04:00:00,67,0.0,79,29.73,Fair,0.0,60,0.0,,,,,,,,
2022-09-02 05:00:00,64,0.0,87,29.74,Fair,0.0,60,0.0,,,,,,,,
2022-09-02 06:00:00,64,0.0,87,29.75,Fair,0.0,60,0.0,,,,,,,,
2022-09-02 07:00:00,63,0.0,90,29.75,Fair,0.0,60,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 08:00:00,63,0.0,87,29.77,Fair,3.0,59,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 09:00:00,60,0.0,93,29.79,Fair,0.0,58,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 10:00:00,63,0.0,90,29.81,Mostly Cloudy,0.0,60,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 11:00:00,66,0.0,78,29.84,Partly Cloudy,7.0,59,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 12:00:00,69,0.0,65,29.86,Partly Cloudy,7.0,57,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 13:00:00,71,0.0,59,29.87,Mostly Cloudy,6.0,56,1.0,0.0,0.0,0.0,0.0,,,,
2022-09-02 14:00:00,75,0.0,53,29.88,Mostly Cloudy,7.0,57,1.0,30.0,20.0,0.0,0.0,,,,
2022-09-02 15:00:00,77,0.0,54,29.88,Mostly Cloudy,7.0,59,1.0,50.0,30.0,2.0,0.0,,,,
2022-09-02 16:00:00,81,0.0,49,29.88,Mostly Cloudy,9.0,60,1.0,50.0,10.0,0.0,0.0,,,,
2022-09-02 17:00:00,83,0.0,46,29.87,Fair,5.0,60,1.0,20.0,0.0,0.0,0.0,,,,
2022-09-02 18:00:00,84,0.0,43,29.86,Mostly Cloudy,3.0,59,1.0,10.0,40.0,0.0,2.0,,,,
2022-09-02 19:00:00,87,0.0,39,29.85,Mostly Cloudy,7.0,59,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2022-09-02 20:00:00,85,0.0,43,29.84,Mostly Cloudy,8.0,60,0.0,,,,,,,,
2022-09-02 21:00:00,84,0.0,43,29.84,Mostly Cloudy,8.0,59,0.0,,,,,,,,
2022-09-02 22:00:00,84,0.0,44,29.84,Mostly Cloudy,9.0,60,0.0,,,,,,,,
2022-09-02 23:00:00,82,0.0,49,29.84,Mostly Cloudy,7.0,61,0.0,,,,,,,,
2022-09-03 00:00:00,79,0.0,56,29.85,Mostly Cloudy,7.0,62,0.0,,,,,,,,
2022-09-03 01:00:00,76,0.0,67,29.86,Fair,6.0,64,0.0,,,,,,,,
2022-09-03 02:00:00,76,0.0,67,29.87,Fair,9.0,64,0.0,,,,,,,,
2022-09-03 03:00:00,75,0.0,71,29.88,Partly Cloudy,7.0,65,0.0,,,,,,,,
2022-09-03 04:00:00,73,0.0,79,29.89,Partly Cloudy,5.0,66,0.0,,,,,,,,
2022-09-03 05:00:00,73,0.0,79,29.9,Cloudy,3.0,66,0.0,,,,,,,,
