Datetime,atm_TMP,Humidity,atm_dewPt,Pressure,Altitude (feet),TMP_C,dewPT_C,Saturated_Vapor_Pressur,Actual_Vapor_Pressure,RH_water,RH_ice
2022-09-01 05:00:00,209.477417,3.186864287,287.1268768,18499.99771,40186.999,98.59856500000001,49.966876799999994,971.7770859568648,123.13939922387257,12.671568511272602,0.02957118697586614
2022-09-01 06:00:00,209.7474365,3.067528903,286.6749573,18499.99771,41635.182,98.74857583333333,49.51495730000002,977.0839371140618,120.40246720190717,12.32263295183531,0.03025042740693169
2022-09-01 07:00:00,210.7309875,2.938781142,287.0506287,26399.99924,42098.598,99.29499305555555,49.89062870000001,996.6195521665833,122.6739063798158,12.309000572297728,0.036216535762817824
2022-09-01 08:00:00,211.201355,2.554326832,286.796936,39799.99924,25173.375,99.55630833333333,49.63693600000002,1006.0768933850412,121.13599341652905,12.040430926601992,0.038561851917537734
2022-09-01 09:00:00,210.7967224,2.694520086,286.8849182,38599.99771,24446.987,99.33151244444444,49.72491820000002,997.936753051937,121.66746232280454,12.19190113508851,0.03630220550213525
2022-09-01 10:00:00,210.536911,2.698614568,286.8732605,38299.99771,38412.733,99.18717277777779,49.71326050000002,992.7391073270238,121.59692730669784,12.248628709117822,0.034787883072359846
2022-09-01 11:00:00,210.5193481,2.940544695,288.4372864,27599.99924,41520.691,99.17741561111112,51.27728640000001,992.3885714892567,131.3800880280913,13.238774790698363,0.037479652458041086
2022-09-01 12:00:00,209.6136475,3.18992281,288.9875793,15099.99771,44301.69,98.67424861111112,51.8275793,974.4514835357072,134.97939513127395,13.851833304364591,0.0331635825326232
2022-09-01 13:00:00,209.4825287,3.436038673,288.6185455,15199.99924,44301.69,98.60140483333333,51.458545499999985,971.8773249340035,132.55643210830416,13.639214405717878,0.03185998929050078
2022-09-01 14:00:00,209.4880219,3.186376959,288.5099792,15299.99924,44046.65,98.60445661111112,51.34997919999998,971.9850546535318,131.85077154824262,13.565102767474277,0.03171964834087614
2022-09-01 15:00:00,209.4786224,3.186439723,288.3413696,15199.99924,44301.69,98.59923466666666,51.18136960000001,971.8007227277529,130.76123946849697,13.455561043571002,0.031407888510532805
2022-09-01 16:00:00,209.6294098,3.208102137,287.6180725,15499.99924,44173.828,98.68300544444443,50.458072499999986,974.7613165752832,126.17470047939344,12.94416369770339,0.031082180140901396
2022-09-01 17:00:00,209.2924957,3.333202273,286.9326172,15799.99924,43669.137,98.49583094444444,49.772617199999985,968.1566400071496,121.9564321601212,12.59676658925983,0.028388212254143338
2022-09-01 18:00:00,209.6698456,3.194910467,285.866394,16299.99924,43174.885,98.70546977777778,48.70639400000002,975.5565231107487,115.6360155641749,11.853338358647568,0.02867923522419357
2022-09-01 19:00:00,209.6662598,3.180246204,285.3306885,17099.99924,42810.761,98.70347766666667,48.17068850000001,975.485983206825,112.5682555836599,11.539710208198132,0.027901672855769645
2022-09-01 20:00:00,209.2784119,3.383735329,285.2028809,17299.99924,41635.18,98.48800661111112,48.04288090000003,967.8813658547004,111.84679347253203,11.555837049695056,0.025973020948357864
2022-09-01 21:00:00,210.1123962,3.373632729,285.8602905,17299.99924,41865.784,98.95133122222222,48.70029050000002,984.295188258141,115.60066239247986,11.744511582653644,0.030853996859429626
2022-09-01 22:00:00,210.458847,3.007207841,285.8516235,18199.99924,41520.691,99.14380388888888,48.69162350000002,991.1818290912811,115.55047669407499,11.657848570530401,0.0326409578329156
2022-09-01 23:00:00,210.6838226,2.875781685,286.6407471,19499.99771,39864.557,99.26879033333334,49.4807471,995.675353883742,120.19742932859022,12.071949843866962,0.035216048811940084
