pressure,temperature,humidity,image
200,217.770278930664,8.3060467839241,0
350,239.40347290039,5.28902835771441,0
325,236.103195190429,4.62676079361699,0
300,232.266128540039,5.75083620846271,0
275,228.088684082031,5.88054455537349,0
250,223.520675659179,6.58609569072723,0
225,217.837936401367,10.0781392455101,0
425,248.494033813476,5.87519259750843,0
375,242.998260498046,5.75127582252025,0
400,245.817138671875,6.12733636796474,0
450,251.127090454101,5.02039415575563,0
475,253.693099975586,5.12522288018954,0
500,255.643402099609,5.12523624076857,0
275,228.12759399414,8.145028591156,0
300,232.361114501953,6.25507080554962,0
325,236.314682006836,4.75363262020982,0
350,239.690475463867,5.12725011771544,0
250,223.403259277343,8.37609803676605,0
400,245.653900146484,5.37713110446929,0
425,248.539306640625,4.66441524028778,0
375,242.717086791992,5.26851594448089,0
225,218.257431030273,11.8830965161323,0
200,217.887619018554,7.58952611684799,0
500,255.241058349609,3.00012221725774,0
475,253.558685302734,2.83151565492153,0
450,251.235427856445,3.85311931371688,0
425,248.172637939453,4.89582055807113,0
300,232.072036743164,6.13374534249305,0
275,227.835052490234,8.01958280801773,0
250,222.769973754882,8.37608742713928,0
450,251.303115844726,3.76259046792984,0
500,255.447189331054,2.51164098829031,0
475,253.838424682617,2.8753323413548,0
225,217.763793945312,11.6584926843643,0
350,239.041458129882,4.75020466744899,0
400,245.230148315429,5.25621547037735,0
375,242.257568359375,5.25417411327362,0
325,236.137817382812,4.51436838880181,0
200,217.90103149414,7.55459719896316,0
300,232.299728393554,5.06583082675933,0
500,255.496765136718,1.87930969288572,0
475,253.612121582031,2.45544193685054,0
450,251.084640502929,3.25839290209114,0
425,248.285400390625,4.27224171161651,0
325,235.516448974609,4.61571186780929,0
375,242.29052734375,4.74406236410141,0
350,239.420776367187,4.57622602581977,0
400,245.472839355468,4.76366674900054,0
275,228.013732910156,6.62454342842102,0
225,217.868041992187,11.1874496340751,0
250,222.915054321289,8.41598972678184,0
200,218.095245361328,8.42045909166336,0
225,217.675735473632,10.436865389347,0
200,218.21206665039,8.3496161699295,0
300,231.889587402343,4.88400009274482,0
250,222.765563964843,8.21919518709182,0
375,242.155181884765,5.00151818990707,0
400,245.140930175781,5.01888909935951,0
275,227.896728515625,6.66899573802948,0
425,247.512298583984,4.37594121694564,0
450,250.811111450195,3.53909062221646,0
500,253.88865661621,1.50128592550754,0
475,252.105682373046,2.1131922379136,0
325,235.379684448242,4.48185789585113,0
350,238.582107543945,4.6271898150444,0
450,250.696411132812,2.28067064285278,0
425,248.452072143554,3.00082200765609,0
400,245.675628662109,3.57493364810943,0
375,242.398605346679,4.12930881977081,0
350,239.058013916015,4.78332805261015,0
325,235.481811523437,5.18166553974151,0
300,231.773284912109,5.88675785064697,0
275,227.400634765625,7.24535393714904,0
250,222.067642211914,10.1620891094207,0
200,217.899353027343,7.65766954421997,0
500,254.189453125,0.87509860873979,0
475,252.488891601562,1.50009834766387,0
225,218.176467895507,11.0324001312255,0
250,222.189346313476,9.8955230563879,0
225,218.529418945312,10.8258500099182,0
200,218.530853271484,6.55350935459137,0
275,227.433807373046,7.26029909867793,0
300,231.651916503906,5.87584632408106,0
350,238.732879638671,5.88262417027726,0
375,242.270217895507,4.26010582130402,0
400,245.592834472656,3.12658116512466,0
425,248.43309020996,2.50311480462551,0
450,250.672897338867,2.00299857556819,0
475,252.239517211914,1.63990623317658,0
500,253.692199707031,1.13011926086619,0
325,235.165893554687,6.25211826548911,0
475,252.338958740234,1.68622561544179,0
450,250.890213012695,2.05636147037148,0
425,248.64663696289,2.46497455239296,0
400,245.770141601562,3.14964064955711,0
375,242.232345581054,4.25957310199737,0
350,238.671875,5.88226457685232,0
325,235.287841796875,7.25893384590745,0
300,231.765625,7.77915369160473,0
275,227.609222412109,8.45897352695465,0
250,222.582946777343,9.85498642921447,0
225,219.371261596679,9.52527678012848,0
500,253.90721130371,1.26175371091812,0
200,219.571166992187,6.42820078134536,0
250,222.199020385742,9.76843392848968,0
200,218.849227905273,7.58509230613708,0
225,220.175842285156,9.40557903051376,0
275,226.132385253906,8.18182753026485,0
450,251.235885620117,2.06192287802696,0
325,233.023986816406,7.12677229451946,0
350,236.599609375,5.63119111116975,0
375,240.802307128906,3.89505468681454,0
400,244.99510192871,2.6670932136476,0
300,229.757980346679,7.54981236159801,0
425,248.449172973632,2.03749331831932,0
475,252.94384765625,1.13079918222501,0
500,254.571456909179,0.627567751565948,0
300,230.343048095703,7.69437152147293,0
500,254.888259887695,1.13479470089077,0
225,218.871154785156,11.3669875860214,0
250,221.602783203125,10.8697902560234,0
275,226.188842773437,8.27994537353515,0
325,234.039978027343,6.36246478557586,0
450,251.437255859375,2.00807347428053,0
375,240.886245727539,5.71292921900749,0
400,244.713668823242,5.29272678494453,0
425,248.502563476562,2.81925392150878,0
475,253.068145751953,1.50448553496971,0
350,237.441589355468,5.57131225615739,0
200,220.28758239746,7.24348944425582,0
300,229.966278076171,9.23431348800659,0
250,221.803665161132,9.40949559211731,0
225,218.852172851562,10.1005908250808,0
200,217.396682739257,6.85896295309066,0
275,225.922180175781,7.59315770864486,0
325,233.849197387695,6.02246052026748,0
375,240.969512939453,5.39974725246429,0
400,244.740173339843,5.05899667739868,0
425,248.397369384765,4.26437119953334,0
450,251.832168579101,4.38304153084754,0
475,254.176330566406,3.46650819480419,0
500,256.020156860351,1.75422176998108,0
350,237.467636108398,5.19856950640678,0
375,240.689880371093,6.25988900661468,0
350,237.215850830078,6.49141995608806,0
325,233.464477539062,6.8949540965259,0
225,220.518020629882,12.2036123275756,0
200,218.540618896484,9.75489825010299,0
300,229.502456665039,8.50632261997088,0
275,225.361297607421,9.27192954532802,0
400,244.286987304687,5.7520979642868,0
475,253.560333251953,3.37520767035312,0
450,251.507537841796,4.25062059913761,0
500,255.15510559082,2.50039160455344,0
250,223.218215942382,9.95616737008094,0
425,247.96157836914,5.002029330004,0
450,251.830825805664,5.62543489356176,0
375,240.992523193359,7.75388939678669,0
400,244.242645263671,7.50070336461067,0
425,247.63134765625,6.79948908835649,0
475,254.106964111328,4.37597664026543,0
300,229.02197265625,9.4593256115913409,0
275,224.642944335937,11.260094165802,0
500,256.195480346679,3.37528105266392,0
200,216.205505371093,11.8707105517387,0
325,233.226303100586,8.93267986178398,0
350,237.321899414062,7.87716116546653,0
250,219.849777221679,17.5766968131065,0
225,216.445922851562,21.0194957256317,0
475,254.158325195312,4.62533802812686,0
375,240.923645019531,8.57042682170868,0
350,237.277877807617,7.64131869375705,0
325,233.119750976562,9.26552712917328,0
300,228.8447265625,10.1419532299041,0
275,224.451599121093,11.9575899839401,0
250,219.802810668945,17.9782403707504,0
225,216.005126953125,26.1892704367637,0
200,215.515930175781,17.0471921563148,0
450,250.578674316406,8.1282017971389,0
500,255.557495117187,3.62546599828056,0
400,244.334884643554,9.87672941386699,0
425,247.455947875976,9.6303197145462,0
275,223.866882324218,11.3040063381195,0
400,243.62303161621,10.2541465312242,0
325,232.641448974609,9.59862722456455,0
350,236.876266479492,8.15391232073307,0
375,240.441543579101,8.8781714439392,0
500,255.277893066406,5.55162779986858,0
475,253.423019409179,5.87633548583835,0
450,250.484481811523,10.2505900480318,0
425,246.97817993164,10.8776996037922,0
300,228.188354492187,9.69810783863067,0
225,215.5078125,26.6194173693656,0
200,215.22232055664,17.8712262511253,0
250,219.584609985351,18.0232146978378,0
200,215.76919555664,19.2451695203781,0
225,215.142059326171,34.4529157280921,0
250,219.328094482421,30.1293231248855,0
275,223.949829101562,24.2647620439529,0
300,228.498809814453,22.6762926578521,0
375,240.747360229492,15.7504388919041,0
350,237.112503051757,17.3772936426103,0
